Rxnorm	description
996959	acetaminophen 150 MG / aspirin 180 MG / codeine phosphate 60 MG Oral Capsule
996965	acetaminophen 300 MG / codeine phosphate 30 MG Oral Capsule
996966	acetaminophen 300 MG / codeine phosphate 60 MG Oral Capsule
996967	codeine phosphate 7.5 MG
996968	acetaminophen 300 MG / codeine phosphate 7.5 MG Oral Tablet
996969	acetaminophen 325 MG / codeine phosphate 15 MG Oral Capsule
996970	acetaminophen 325 MG / codeine phosphate 15 MG Oral Tablet
996971	acetaminophen 325 MG / codeine phosphate 30 MG Oral Tablet
996972	codeine phosphate 32 MG
996973	acetaminophen 325 MG / codeine phosphate 32 MG Oral Tablet
996974	acetaminophen 325 MG / codeine phosphate 60 MG Oral Tablet
996975	codeine phosphate 12.8 MG
996976	acetaminophen 500 MG / codeine phosphate 12.8 MG Oral Tablet
996977	codeine phosphate 13.5 MG
996978	acetaminophen 500 MG / codeine phosphate 13.5 MG Oral Tablet
996979	acetaminophen 500 MG / codeine phosphate 30 MG Oral Capsule
996980	codeine phosphate 8 MG
996981	acetaminophen 500 MG / codeine phosphate 8 MG Oral Capsule
996982	acetaminophen 500 MG / codeine phosphate 8 MG Oral Tablet
996983	acetaminophen 650 MG / codeine phosphate 60 MG Oral Tablet
996984	codeine phosphate 1.97 MG/ML
996988	aspirin 300 MG / codeine phosphate 8 MG Oral Tablet
996989	ASA 325 MG / Codeine Phosphate 15 MG Oral Tablet
996991	aspirin 325 MG / codeine phosphate 30 MG Oral Tablet
996994	aspirin 325 MG / codeine phosphate 60 MG Oral Tablet
996998	brompheniramine maleate 0.266 MG/ML / codeine phosphate 1.27 M
997008	chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 2 MG/ML Oral Solution
997013	codeine phosphate 0.6 MG/ML
997014	codeine phosphate 0.6 MG/ML Oral Solution
997016	codeine phosphate 1 MG/ML / guaifenesin 10 MG/ML / pseudoephedrine hydrochloride
997018	codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
997019	codeine phosphate 1 MG/ML / kaolin 300 MG/ML Oral Suspension
997156	codeine phosphate 1.5 MG/ML / diphenhydramine hydrochloride 2.5 MG/ML / phenyleph
997160	codeine phosphate 1.8 MG/ML / phenylephrine hydrochloride 1 MG/ML / pyrilamine ma
997163	codeine phosphate 12.5 MG
997164	codeine phosphate 12.5 MG / ibuprofen 200 MG Oral Tablet
997165	codeine phosphate 12.8 MG / ibuprofen 200 MG Oral Tablet
997166	codeine phosphate 15 MG Disintegrating Oral Tablet
997167	codeine sulfate 15 MG
997168	CODEINE SO4 15MG SOLUBLE TAB
997169	codeine phosphate 15 MG Oral Tablet
997170	codeine sulfate 15 MG Oral Tablet
997172	codeine phosphate 15 MG/ML
997173	codeine 15 mg/mL injectable solution
997175	codeine phosphate 10 MG / guaiFENesin 100 MG / pseudoephedrine HCl 22.5 MG in 5 m
997272	codeine phosphate 10 MG / pseudoephedrine hydrochloride 15 MG / triprolidine hydr
997277	codeine phosphate 2.5 MG/ML
997279	codeine phosphate 12.5 MG / guaifenesin 125 MG / phenylephrine hydrochloride 4 MG
997280	codeine phosphate 20 MG / ibuprofen 300 MG Extended Release Oral Tablet
997281	codeine phosphate 3 MG/ML
997283	codeine phosphate 15 MG / guaifenesin 250 MG / phenylephrine hydrochloride 12.5 M
997284	codeine 15 mg/5 mL oral solution
997285	codeine phosphate 30 mg oral tablet
997286	codeine sulfate 30 MG
997287	codeine sulfate 30 MG Oral Tablet
997289	codeine 30 mg/mL injectable solution
997290	codeine phosphate 4 MG/ML / guaifenesin 40 MG/ML Oral Solution
997291	codeine sulfate 60 MG
997292	CODEINE SO4 60MG SOLUBLE TAB
997295	codeine phosphate 60 MG Disintegrating Oral Tablet
997296	codeine sulfate 60 MG Oral Tablet
997301	codeine phosphate 60 mg oral tablet
997303	codeine 60 mg/mL injectable solution
997306	butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Tablet
997398	"CODEINE 10MG/GLYCEROL,IODINATED 30MG/5ML LIQUID"
997400	codeine / terpin hydrate Oral Solution
997401	CODEINE 10MG/TERPIN HYDRATE 85MG/5ML ELIXIR
997503	acetaminophen 650 MG / codeine phosphate 30 MG [EZ III]
997504	acetaminophen 650 MG / codeine phosphate 30 MG Oral Tablet [EZ III]
997506	acetaminophen 650 MG / codeine phosphate 30 MG [Margesic #3]
997507	acetaminophen 650 MG / codeine phosphate 30 MG Oral Tablet [Margesic #3]
997519	aspirin 325 MG / codeine phosphate 60 MG [Empirin with Codeine]
997520	ASA 325 MG / Codeine Phosphate 60 MG Oral Tablet [Empirin with Codeine]
997522	aspirin 325 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG [Fio
997523	ASA 325 MG / butalbital 50 MG / Caffeine 40 MG / Codeine Phosphate 30 MG Oral Cap
997547	chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 2 MG/ML [TL-Hist CM]
997548	chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 2 MG/ML Oral Solution [TL-
998177	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
998178	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
998182	codeine phosphate 1.5 MG/ML / diphenhydramine hydrochloride 2.5 MG/ML / phenyleph
998183	Airacof (codeine phosphate 7.5 MG / diphenhydrAMINE HCl 12.5 MG / phenylephrine H
998184	codeine phosphate 1.5 MG/ML / diphenhydramine hydrochloride 2.5 MG/ML / phenyleph
998185	codeine phosphate 1.5 MG/ML / diphenhydramine hydrochloride 2.5 MG/ML / phenyleph
998212	1 ML morphine sulfate 2 MG/ML Prefilled Syringe
998213	1 ML morphine sulfate 4 MG/ML Prefilled Syringe
998369	codeine phosphate 10 MG / dexchlorpheniramine maleate 1 MG / phenylephrine HCl 5
998399	codeine phosphate 2 MG/ML / dexchlorpheniramine maleate 0.2 MG/ML / phenylephrine
998400	codeine phosphate 2 MG/ML / dexchlorpheniramine maleate 0.2 MG/ML / phenylephrine
999728	acetaminophen / tramadol Oral Capsule
999729	acetaminophen 250 MG / tramadol hydrochloride 50 MG Oral Capsule
1000502	dextromethorphan_HBr_30_MG___gua
1007069	dibunate / guaifenesin
1007084	chlorpheniramine / hydrocodone / phenylephrine / pseudoephedrine / pyrilamine
1007157	guaifenesin / menthol
1007204	codeine / propyphenazone
1007238	aconite / codeine / Erysimum preparation
1007269	acetaminophen / guaifenesin / pseudoephedrine
1007293	codeine / potassium
1007297	guaiacolsulfonate / guaifenesin
1007302	guaifenesin / phenobarbital / theophylline
1007354	chlorpheniramine / dihydrocodeine / phenylephrine / phenylpropanolamine
1007364	brompheniramine / guaifenesin / phenylephrine
1007383	attapulgite / morphine
1007477	codeine / ethylmorphine
1007499	chlorpheniramine / guaifenesin / phenylpropanolamine / pseudoephedrine
1007525	dextromethorphan / guaiacolsulfonate / guaifenesin
1007527	dextromethorphan / guaiacolsulfonate / guaifenesin / pseudoephedrine
1007561	atropine / hydromorphone
1007568	codeine / guaiacolsulfonic acid / phenylephrine / promethazine
1007569	acetaminophen / chlorpheniramine / codeine
1007572	acetaminophen / codeine / guaifenesin / pseudoephedrine
1007646	phenylephrine / triprolidine
1007650	guaiacolsulfonate / morphine
1007745	bromhexine / guaifenesin
1007785	fentanyl / sodium chloride
1007791	hydrocodone / pheniramine / phenylephrine / phenylpropanolamine / pyrilamine
1007901	guaifenesin / phenylephrine / potassium citrate
1007909	naloxone / tilidine
1007975	chlorpheniramine / guaifenesin
1008002	brompheniramine / dextromethorphan / guaifenesin / phenylephrine
1008059	brompheniramine / codeine / guaifenesin
1008060	butalbital / caffeine / codeine
1008110	codeine / diclofenac
1008255	brompheniramine / dextromethorphan / guaifenesin / pseudoephedrine
1008256	brompheniramine / dihydrocodeine / pseudoephedrine
1008260	chlorpheniramine / dihydrocodeine / pseudoephedrine
1008275	dipropizine / guaifenesin
1008288	"belladonna extract, USP / opium"
1008298	acetaminophen / caffeine / chlorpheniramine / hydrocodone / phenylephrine
1008315	codeine / guaifenesin / promethazine
1008319	caffeine / codeine / pheniramine / phenylephrine / salicylic acid
1008393	dexchlorpheniramine / dextromethorphan / guaifenesin / phenylephrine
1008454	dihydrocodeine / phenyltoloxamine
1008493	benzoate / codeine
1008519	guaiacolsulfonate / hydrocodone
1008554	acetaminophen / codeine / magnesium salicylate / phenyltoloxamine
1008560	bismuth camphocarbonate / guaifenesin
1008793	chlorpheniramine / hydrocodone / phenylephrine / pyrilamine
1008812	codeine / guaiacolsulfonic acid / promethazine
1008836	guaifenesin / phenylephrine / pseudoephedrine
1008868	codeine / guaiacolsulfonate
1008871	acetaminophen / codeine / guaifenesin / phenylephrine
1008880	guaiacolsulfonic acid / hydrocodone
1008954	codeine / Erysimum preparation
1008955	guaiacolsulfonate / hydrocodone / pseudoephedrine
1008984	dextromethorphan / guaiacolsulfonate / guaifenesin / pyrilamine
1009013	dextromethorphan / guaifenesin / phenylephrine / pyrilamine
1009056	fentanyl / ropivacaine / sodium chloride
1009091	chlorpheniramine / dextromethorphan / guaifenesin / pseudoephedrine
1010598	naloxone hydrochloride dihydrate
1010600	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Film
1010601	buprenorphine 2 MG / naloxone 0.5 MG [Suboxone]
1010603	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Film [Suboxone
1010604	buprenorphine 8 MG / naloxone 2 MG Sublingual Film
1010605	buprenorphine 8 MG / naloxone 2 MG [Suboxone]
1010606	buprenorphine 8 MG / naloxone 2 MG Sublingual Film [Suboxone]
1010607	buprenorphine___naloxone_Subling
1010608	buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet [Suboxone]
1010609	buprenorphine 8 MG / naloxone 2 MG Sublingual Tablet [Suboxone]
1012110	chlorcyclizine / codeine Oral Solution
1012111	chlorcyclizine / codeine
1012122	chlorcyclizine / codeine / pseudoephedrine Oral Solution
1012123	chlorcyclizine / codeine / pseudoephedrine
1012125	Notuss-NXD
1012127	chlorcyclizine / codeine / pseudoephedrine Oral Solution [Notuss-NXD]
1012158	acetaminophen 650 MG / codeine phosphate 30 MG [Cocet]
1012160	acetaminophen 650 MG / codeine phosphate 30 MG Oral Tablet [Cocet]
1012162	acetaminophen 650 MG / codeine phosphate 60 MG [Cocet]
1012163	acetaminophen / codeine Oral Tablet [Cocet]
1012164	acetaminophen 650 MG / codeine phosphate 60 MG Oral Tablet [Cocet]
1012575	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 0.5 MG/ML / pseudoephedr
1012580	carbinoxamine / hydrocodone / pseudoephedrine Oral Solution [Histuss]
1012727	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / pseudoephedrin
1012728	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / pseudoephedrin
1012729	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / pseudoephedrin
1012749	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / pseudoephedrin
1012752	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / pseudoephedrin
1012923	carbinoxamine maleate 0.4 MG/ML / hydrocodone bitartrate 1 MG/ML / phenylephrine
1012943	carbinoxamine maleate 0.8 MG/ML / hydrocodone bitartrate 1 MG/ML / phenylephrine
1013614	chlorcyclizine / codeine / phenylephrine Oral Solution
1013615	chlorcyclizine / codeine / phenylephrine
1014598	oxycodone hydrochloride 10 MG
1014599	acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tabl
1014603	acetaminophen 300 MG / oxycodone hydrochloride 10 MG [Perloxx]
1014604	acetaminophen / oxycodone Oral Tablet [Perloxx]
1014605	acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Perloxx]
1014614	oxycodone hydrochloride 5 MG
1014615	acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Table
1014631	oxycodone hydrochloride 7.5 MG
1014632	acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tab
1020138	"Children's Delsym Cough+Chest Congest DM, 5 mg-100 mg/5 mL oral liquid"
1036870	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
1036898	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
1036899	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML [Guaitussin AC]
1036900	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride
1036902	codeine phosphate 2 MG/ML / guaifenesin 20 MG/ML [Tussi Organidin]
1037119	12 HR carbetapentane citrate 30 MG / guaifenesin 400 MG Extended Release Oral Capsule
1037120	carbetapentane citrate 30 MG / guaifenesin 400 MG [Dynex VR]
1037121	12 HR carbetapentane citrate 30 MG / guaifenesin 400 MG Extended Release Oral Capsule [Dynex VR]
1037122	carbetapentane citrate 30 MG / guaifenesin 400 MG Extended Release Oral Capsule
1037123	carbetapentane citrate 30 MG / guaifenesin 400 MG Extended Release Oral Capsule [Dynex VR]
1037241	Aquatab C 400mg-30mg-10mg Tablet
1037245	carbetapentane citrate 20 MG / guaifenesin 100 MG / phenylephrine hydrochloride 15 MG per 5 ML Oral Solution
1037258	oxycodone hydrochloride 2.5 MG
1037259	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tab
1037260	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG [Primalev]
1037261	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Primalev]
1037352	carbetapentane citrate 3 MG/ML / guaifenesin 20 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution
1037356	carbetapentane citrate 1.5 MG/ML / guaifenesin 40 MG/ML Oral Suspension
1037357	carbetapentane citrate 1.5 MG/ML / guaifenesin 40 MG/ML [Allres G]
1037358	Allres G (carbetapentane citrate 7.5 MG / guaifenesin 200 MG) per 5 ML Oral Suspension
1037373	carbetapentane citrate 1.5 MG/ML / guaifenesin 40 MG/ML Extended Release Suspension
1037374	Allres-G (carbetapentane citrate 7.5 MG / guaifenesin 200 MG) per 5 ML Extended Release Suspension
1039286	dextromethorphan HBr 20 MG / guaiFENesin 200 MG / phenylephrine HCl 10 MG in 5 mL Oral Solution
1042693	chlorpheniramine maleate 0.4 MG/ML / codeine phosphate 2 MG/ML
1043440	Notuss-NX
1043442	chlorcyclizine / codeine Oral Solution [Notuss-NX]
1043543	"Adult Severe Congestion and Cough, 20 mg-400 mg-10 mg/20 mL oral liquid"
1043554	chlorcyclizine / codeine / phenylephrine Oral Solution [Nasotuss]
1043648	codeine phosphate 2 MG/ML / pseudoephedrine hydrochloride 3 MG/ML / triprolidine
1043649	codeine / pseudoephedrine / triprolidine Oral Solution [Poly Hist NC]
1043650	codeine phosphate 2 MG/ML / pseudoephedrine hydrochloride 3 MG/ML / triprolidine
1044427	acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML Or
1044428	Zolvit
1044429	acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML [Zolvit]
1044430	acetaminophen / hydrocodone Oral Solution [Zolvit]
1044431	acetaminophen 20 MG/ML / hydrocodone bitartrate 0.667 MG/ML Oral Solution [Zolvit
1044949	"Cough Syrup, 10 mg-100 mg-5 mg/5 mL oral syrup"
1045354	Dexcon-DM 20mg-100mg-10mg/5ml Syrup
1046631	Aquatab DM 10mg-200mg/5ml Syrup
1048073	chlophedianol / guaifenesin / phenylephrine Oral Solution
1048074	chlophedianol / guaifenesin / phenylephrine
1048075	chlophedianol HCl 12.5 MG / guaiFENesin 100 MG / phenylephrine HCl 5 MG in 5 mL Oral Solution
1049190	acetaminophen 300 MG / oxycodone hydrochloride 10 MG [Lynox]
1049191	acetaminophen 300 MG / oxycodone hydrochloride 10 MG Oral Tablet [Lynox]
1049195	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG [Perloxx]
1049197	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Perloxx]
1049204	acetaminophen 300 MG / oxycodone hydrochloride 5 MG [Perloxx]
1049206	acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Perloxx]
1049209	acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG [Perloxx]
1049211	acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Perloxx]
1049214	acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tabl
1049215	acetaminophen 325 MG / oxycodone hydrochloride 10 MG [Endocet]
1049216	acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tabl
1049217	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG [Lynox]
1049218	acetaminophen 300 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Lynox]
1049221	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Table
1049222	acetaminophen 325 MG / oxycodone hydrochloride 5 MG [Endocet]
1049223	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Table
1049225	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tab
1049226	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG [Endocet
1049227	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tab
1049231	acetaminophen 300 MG / oxycodone hydrochloride 5 MG [Lynox]
1049232	acetaminophen 300 MG / oxycodone hydrochloride 5 MG Oral Tablet [Lynox]
1049233	acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tab
1049234	acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG [Endocet]
1049235	acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Endocet]
1049240	acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG [Lynox]
1049241	acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Lynox]
1049251	acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tabl
1049252	acetaminophen 400 MG / oxycodone hydrochloride 10 MG [Magnacet]
1049253	acetaminophen 400 MG / oxycodone hydrochloride 10 MG Oral Tablet [Magnacet]
1049257	acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG Oral Tablet
1049258	acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG [Magnacet]
1049259	acetaminophen 400 MG / oxycodone hydrochloride 2.5 MG Oral Tablet [Magnacet]
1049260	acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Table
1049261	acetaminophen 400 MG / oxycodone hydrochloride 5 MG [Magnacet]
1049262	acetaminophen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet [Magnacet]
1049267	acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tab
1049268	acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG [Magnacet]
1049269	acetaminophen 400 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Magnacet]
1049270	acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tabl
1049271	acetaminophen 650 MG / oxycodone hydrochloride 10 MG [Endocet]
1049272	acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet [Endocet]
1049502	12 HR oxycodone hydrochloride 10 MG Extended Release Oral Tabl
1049503	oxycodone hydrochloride 10 MG [Oxycontin]
1049504	Abuse-Deterrent 12 HR oxycodone hydrochloride 10 MG Extended R
1049505	OXYCODONE HCL 10MG SA TAB
1049506	oxycodone hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin]
1049542	oxycodone hydrochloride 15 MG
1049543	12 HR oxycodone hydrochloride 15 MG Extended Release Oral Tabl
1049544	oxycodone hydrochloride 15 MG [Oxycontin]
1049545	Abuse-Deterrent 12 HR oxycodone hydrochloride 15 MG Extended R
1049546	oxycodone hydrochloride 15 MG Extended Release Oral Tablet
1049547	oxycodone hydrochloride 15 MG Extended Release Oral Tablet [Oxycontin]
1049556	oxycodone hydrochloride 160 MG
1049557	12 HR oxycodone hydrochloride 160 MG Extended Release Oral Tablet
1049558	oxycodone hydrochloride 160 MG [Oxycontin]
1049559	12 HR oxycodone hydrochloride 160 MG Extended Release Oral Tablet [Oxycontin]
1049560	oxycodone hydrochloride 160 MG Extended Release Oral Tablet
1049561	oxycodone hydrochloride 160 MG Extended Release Oral Tablet [Oxycontin]
1049562	oxycodone hydrochloride 20 MG
1049563	12 HR oxycodone hydrochloride 20 MG Extended Release Oral Tabl
1049564	oxycodone hydrochloride 20 MG [Oxycontin]
1049565	Abuse-Deterrent 12 HR oxycodone hydrochloride 20 MG Extended R
1049566	OXYCODONE HCL 20MG SA TAB
1049567	oxycodone hydrochloride 20 MG Extended Release Oral Tablet [Oxycontin]
1049573	oxycodone hydrochloride 30 MG
1049574	12 HR oxycodone hydrochloride 30 MG Extended Release Oral Tabl
1049575	oxycodone hydrochloride 30 MG [Oxycontin]
1049576	Abuse-Deterrent 12 HR oxycodone hydrochloride 30 MG Extended R
1049577	oxycodone hydrochloride 30 MG Extended Release Oral Tablet
1049578	oxycodone hydrochloride 30 MG Extended Release Oral Tablet [Oxycontin]
1049579	oxycodone hydrochloride 1 MG/ML
1049580	acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral
1049581	acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML [Roxicet]
1049582	acetaminophen 65 MG/ML / oxycodone hydrochloride 1 MG/ML Oral Solution [Roxicet]
1049583	oxycodone hydrochloride 40 MG
1049584	12 HR oxycodone hydrochloride 40 MG Extended Release Oral Tabl
1049585	oxycodone hydrochloride 40 MG [Oxycontin]
1049586	Abuse-Deterrent 12 HR oxycodone hydrochloride 40 MG Extended R
1049587	oxycodone hydrochloride 40 MG Extended Release Oral Tablet
1049588	oxycodone hydrochloride 40 MG Extended Release Oral Tablet [Oxycontin]
1049589	ibuprofen 400 MG / oxycodone hydrochloride 5 MG Oral Tablet
1049590	ibuprofen 400 MG / oxycodone hydrochloride 5 MG [Combunox]
1049591	Combunox (ibuprofen 400 MG / oxycodone HCl 5 MG) Oral Tablet
1049592	oxycodone hydrochloride 60 MG
1049593	12 HR oxycodone hydrochloride 60 MG Extended Release Oral Tabl
1049594	oxycodone hydrochloride 60 MG [Oxycontin]
1049595	Abuse-Deterrent 12 HR oxycodone hydrochloride 60 MG Extended R
1049596	oxycodone hydrochloride 60 MG Extended Release Oral Tablet
1049597	oxycodone hydrochloride 60 MG Extended Release Oral Tablet [Oxycontin]
1049598	oxycodone hydrochloride 80 MG
1049599	12 HR oxycodone hydrochloride 80 MG Extended Release Oral Tabl
1049600	oxycodone hydrochloride 80 MG [Oxycontin]
1049601	Abuse-Deterrent 12 HR oxycodone hydrochloride 80 MG Extended R
1049602	oxycodone hydrochloride 80 MG Extended Release Oral Tablet
1049603	oxycodone hydrochloride 80 MG Extended Release Oral Tablet [Oxycontin]
1049604	oxycodone hydrochloride 1 MG/ML Oral Solution
1049605	oxycodone hydrochloride 1 MG/ML [Roxicodone]
1049606	oxycodone hydrochloride 1 MG/ML Oral Solution [Roxicodone]
1049611	oxycodone hydrochloride 15 MG Oral Tablet
1049612	oxycodone hydrochloride 15 MG [Roxicodone]
1049613	oxycodone hydrochloride 15 MG Oral Tablet [Roxicodone]
1049614	oxycodone hydrochloride 20 MG/ML
1049615	oxycodone hydrochloride 20 MG/ML Oral Solution
1049616	oxycodone hydrochloride 20 MG/ML [Roxicodone]
1049617	Oxycodone Hydrochloride 20 MG/1 ML Oral Solution [ROXICODONE INTENSOL]
1049618	oxycodone hydrochloride 30 MG Oral Tablet
1049619	oxycodone hydrochloride 30 MG [Roxicodone]
1049620	oxycodone hydrochloride 30 MG Oral Tablet [Roxicodone]
1049621	oxycodone hydrochloride 5 MG Oral Tablet
1049622	oxycodone hydrochloride 5 MG [Roxicodone]
1049623	oxycodone hydrochloride 5 MG Oral Tablet [Roxicodone]
1049624	acetaminophen 325 MG / oxycodone hydrochloride 10 MG [Percocet
1049625	acetaminophen 325 MG / oxycodone hydrochloride 10 MG Oral Tabl
1049635	acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tab
1049636	acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG [Percoce
1049637	acetaminophen 325 MG / oxycodone hydrochloride 2.5 MG Oral Tab
1049639	acetaminophen 325 MG / oxycodone hydrochloride 5 MG [Percocet]
1049640	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Table
1049641	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG [Percoce
1049642	acetaminophen 325 MG / oxycodone hydrochloride 7.5 MG Oral Tab
1049646	acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG [Percocet]
1049647	acetaminophen 500 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Percocet]
1049649	acetaminophen 650 MG / oxycodone hydrochloride 10 MG [Percocet]
1049650	acetaminophen 650 MG / oxycodone hydrochloride 10 MG Oral Tablet [Percocet]
1049651	acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tabl
1049652	acetaminophen 500 MG / oxycodone hydrochloride 10 MG [Narvox]
1049653	acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet [Narvox]
1049654	acetaminophen 500 MG / oxycodone hydrochloride 10 MG [Xolox]
1049655	acetaminophen 500 MG / oxycodone hydrochloride 10 MG Oral Tablet [Xolox]
1049658	acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsu
1049659	acetaminophen 500 MG / oxycodone hydrochloride 5 MG [Taxadone]
1049660	acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule [Taxadone]
1049665	acetaminophen 500 MG / oxycodone hydrochloride 5 MG [Tylox]
1049666	acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Capsule [Tylox]
1049683	oxycodone hydrochloride 10 MG Oral Tablet
1049684	oxycodone hydrochloride 10 MG [Dazidox]
1049685	Dazidox 10 MG Oral Tablet
1049686	oxycodone hydrochloride 20 MG Oral Tablet
1049687	oxycodone hydrochloride 20 MG [Dazidox]
1049688	Dazidox 20 MG Oral Tablet
1049691	ASA 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet
1049692	aspirin 325 MG / oxycodone hydrochloride 5 MG [Roxiprin]
1049693	ASA 325 MG / Oxycodone Hydrochloride 5 MG Oral Tablet [Roxiprin]
1049696	oxycodone hydrochloride 5 MG Oral Capsule
1049703	acetaminophen 325 MG / oxycodone hydrochloride 5 MG Oral Capsule
1049709	acetaminophen 500 MG / oxycodone hydrochloride 5 MG Oral Tablet
1049715	oxycodone hydrochloride 2.44 MG
1049716	ASA 325 MG / oxycodone hydrochloride 2.44 MG Oral Tablet
1049717	oxyCODONE HCl 10 MG Oral Capsule
1049718	oxycodone hydrochloride 10 MG/ML
1049719	oxycodone hydrochloride 10 MG/ML Injectable Solution
1049720	oxycodone hydrochloride 10 MG/ML Concentrate for Oral Solution
1049721	oxyCODONE HCl 20 MG Oral Capsule
1049727	oxyCODONE HCl 5 MG Extended Release Oral Tablet
1050406	oxycodone hydrochloride 20 MG/ML [ETH-Oxydose]
1050407	ETH-Oxydose (oxycodone hydrochloride 20 MG/ML) Oral Solution
1050408	oxycodone hydrochloride 20 MG/ML [Oxyfast]
1050409	Oxycodone Hydrochloride 20 MG/1 ML Oral Solution [OXYFAST]
1050418	oxycodone hydrochloride 5 MG [Endocodone]
1050419	Endocodone 5 MG Oral Tablet
1050420	oxycodone hydrochloride 5 MG [Percolone]
1050421	oxycodone hydrochloride 5 MG Oral Tablet [Percolone]
1050489	acetaminophen 325 MG / oxycodone hydrochloride 5 MG [Roxicet]
